"","gene","TAD"
"COL6A1","COL6A1","TAD_2213"
"COL6A2;DKFZp586E1322","COL6A2;DKFZp586E1322","TAD_320"
"COL6A3","COL6A3","TAD_1653"
"COL6A4P1","COL6A4P1","TAD_3364"
"COL7A1","COL7A1","TAD_1909"
"COL9A2","COL9A2","TAD_2994"
"COLEC11","COLEC11","TAD_940"
"COLQ;HACL1","COLQ;HACL1","TAD_1057"
"COMMD2","COMMD2","TAD_602"
"COMMD3","COMMD3","TAD_3193"
"COMMD3-BMI1","COMMD3-BMI1","TAD_165"
"COMMD5","COMMD5","TAD_551"
"COMMD6","COMMD6","TAD_2439"
"COMMD7","COMMD7","TAD_3384"
"COMMD8","COMMD8","TAD_609"
"COMP","COMP","TAD_1291"
"COPA","COPA","TAD_870"
"COPG","COPG","TAD_2586"
"COPS4","COPS4","TAD_461"
"COPS5","COPS5","TAD_1962"
"COPS6","COPS6","TAD_1655"
"COPS7A","COPS7A","TAD_2035"
"COPZ1","COPZ1","TAD_1501"
"COQ10A","COQ10A","TAD_1064"
"COQ10B","COQ10B","TAD_2405"
"COQ2","COQ2","TAD_2835"
"COQ4","COQ4","TAD_1667"
"COQ5","COQ5","TAD_1200"
"COQ6","COQ6","TAD_3266"
"COQ7","COQ7","TAD_1499"
"COQ9","COQ9","TAD_2927"
"CORO1A;LOC606724","CORO1A;LOC606724","TAD_2278"
"CORO1B","CORO1B","TAD_3119"
"CORO1C","CORO1C","TAD_601"
"CORO2B","CORO2B","TAD_653"
"CORO7-PAM16;CORO7","CORO7-PAM16;CORO7","TAD_2526"
"COTL1","COTL1","TAD_2383"
"COX10","COX10","TAD_3260"
"COX16","COX16","TAD_2130"
"COX17;AK095366","COX17;AK095366","TAD_1127"
"COX19","COX19","TAD_974"
"COX5A","COX5A","TAD_911"
"COX6A1","COX6A1","TAD_709"
"COX6B1","COX6B1","TAD_3360"
"COX6B2;FAM71E2","COX6B2;FAM71E2","TAD_2434"
"COX6C;DL491896","COX6C;DL491896","TAD_1445"
"COX7A2L","COX7A2L","TAD_3466"
"COX7B","COX7B","TAD_1636"
"COX8A","COX8A","TAD_567"
"COX8C","COX8C","TAD_2443"
"CP","CP","TAD_3435"
"CPA4","CPA4","TAD_2272"
"CPA5","CPA5","TAD_1406"
"CPD","CPD","TAD_2848"
"CPE","CPE","TAD_2915"
"CPEB2","CPEB2","TAD_2229"
"CPLX1","CPLX1","TAD_974"
"CPN1","CPN1","TAD_300"
"CPNE1","CPNE1","TAD_2414"
"CPNE2","CPNE2","TAD_415"
"CPNE5","CPNE5","TAD_2217"
"CPO","CPO","TAD_73"
"CPOX","CPOX","TAD_2441"
"CPS1","CPS1","TAD_974"
"CPS1-IT1","CPS1-IT1","TAD_1672"
"CPSF1;MIR939;MIR1234","CPSF1;MIR939;MIR1234","TAD_52"
"CPSF4L","CPSF4L","TAD_2149"
"CPT1A","CPT1A","TAD_2483"
"CPT1B","CPT1B","TAD_2706"
"CPXM1","CPXM1","TAD_1196"
"CR627240","CR627240","TAD_1386"
"CR749695;STARD7","CR749695;STARD7","TAD_3187"
"CR933638","CR933638","TAD_3223"
"CR936688","CR936688","TAD_1009"
"CRABP1","CRABP1","TAD_2268"
"CRABP2","CRABP2","TAD_659"
"CRAMP1L","CRAMP1L","TAD_3654"
"CRB1","CRB1","TAD_1786"
"CRB2","CRB2","TAD_2130"
"CRB3","CRB3","TAD_3547"
"CRCP","CRCP","TAD_3625"
"CREB3","CREB3","TAD_1423"
"CREB3L1","CREB3L1","TAD_2208"
"CREB3L2","CREB3L2","TAD_492"
"CREB3L4","CREB3L4","TAD_2115"
"CREBBP","CREBBP","TAD_3049"
"CREG1","CREG1","TAD_1722"
"CRELD1","CRELD1","TAD_1421"
"CRIM1","CRIM1","TAD_256"
"CRIP1","CRIP1","TAD_419"
"CRIP2","CRIP2","TAD_1940"
"CRIP3","CRIP3","TAD_2584"
"CRIPAK","CRIPAK","TAD_2350"
"CRIPT","CRIPT","TAD_176"
"CRISPLD1","CRISPLD1","TAD_1626"
"CRK","CRK","TAD_3329"
"CRKL;BC033281","CRKL;BC033281","TAD_3381"
"CRLF1","CRLF1","TAD_531"
"CRLS1","CRLS1","TAD_245"
"CRMP1","CRMP1","TAD_1628"
"CRNDE","CRNDE","TAD_524"
"CROCC","CROCC","TAD_2314"
"CROT","CROT","TAD_617"
"CRSP8P","CRSP8P","TAD_2536"
"CRTAP","CRTAP","TAD_2695"
"CRTC1","CRTC1","TAD_1665"
"CRTC2","CRTC2","TAD_17"
"CRTC3","CRTC3","TAD_2454"
"CRYAB","CRYAB","TAD_2643"
"CRYBB3","CRYBB3","TAD_605"
"CRYBG3","CRYBG3","TAD_1029"
"CRYM","CRYM","TAD_1784"
"CRYZ","CRYZ","TAD_3321"
"CS","CS","TAD_1662"
"CSAD","CSAD","TAD_1124"
"CSDA","CSDA","TAD_3622"
"CSDAP1","CSDAP1","TAD_1161"
"CSDE1","CSDE1","TAD_51"
"CSF1","CSF1","TAD_1253"
"CSF1R","CSF1R","TAD_3163"
"CSF2","CSF2","TAD_898"
"CSGALNACT2","CSGALNACT2","TAD_2252"
"CSK","CSK","TAD_1251"
"CSMD2","CSMD2","TAD_242"
"CSMD3","CSMD3","TAD_759"
"CSNK1A1P1","CSNK1A1P1","TAD_1169"
"CSNK1E;LOC400927","CSNK1E;LOC400927","TAD_1413"
"CSNK1G2","CSNK1G2","TAD_796"
"CSNK2A1","CSNK2A1","TAD_3243"
"CSNK2A2","CSNK2A2","TAD_881"
"CSNK2B","CSNK2B","TAD_180"
"CSPP1","CSPP1","TAD_2696"
"CSRNP1","CSRNP1","TAD_1690"
"CSRNP2","CSRNP2","TAD_1596"
"CSRNP3","CSRNP3","TAD_1826"
"CSRP2","CSRP2","TAD_2837"
"CSRP2BP","CSRP2BP","TAD_1451"
"CSTF3","CSTF3","TAD_271"
"CTAGE5","CTAGE5","TAD_2369"
"CTAGE7P","CTAGE7P","TAD_593"
"CTBP1","CTBP1","TAD_2342"
"CTBS","CTBS","TAD_2833"
"CTC1","CTC1","TAD_3175"
"CTCF","CTCF","TAD_3355"
"CTDP1","CTDP1","TAD_3274"
"CTDSP1","CTDSP1","TAD_508"
"CTF1","CTF1","TAD_1464"
"CTGF","CTGF","TAD_3625"
"CTH","CTH","TAD_2591"
"CTHRC1","CTHRC1","TAD_1606"
"CTNNA2","CTNNA2","TAD_606"
"CTPS2","CTPS2","TAD_1315"
"CTRC","CTRC","TAD_218"
"CTRL;PSMB10","CTRL;PSMB10","TAD_150"
"CTSA","CTSA","TAD_516"
"CTSB","CTSB","TAD_1261"
"CTSD","CTSD","TAD_230"
"CTSK","CTSK","TAD_425"
"CTSO","CTSO","TAD_1701"
"CTSW","CTSW","TAD_1110"
"CTSZ;AK310046","CTSZ;AK310046","TAD_2979"
"CTTNBP2NL;AX747733","CTTNBP2NL;AX747733","TAD_710"
"CTU2","CTU2","TAD_601"
"CUEDC1","CUEDC1","TAD_1745"
"CUEDC2","CUEDC2","TAD_2607"
"CUL1","CUL1","TAD_2144"
"CUL4A","CUL4A","TAD_850"
"CUL5","CUL5","TAD_1508"
"CUL7","CUL7","TAD_228"
"CUTA","CUTA","TAD_1666"
"CUZD1","CUZD1","TAD_2541"
"CWC15","CWC15","TAD_3"
"CWC22","CWC22","TAD_1419"
"CWC25","CWC25","TAD_3568"
"CWC27","CWC27","TAD_220"
"CWF19L2","CWF19L2","TAD_169"
"CX3CR1","CX3CR1","TAD_3193"
"CXADR","CXADR","TAD_1603"
"CXCL1","CXCL1","TAD_240"
"CXCL16","CXCL16","TAD_2756"
"CXCL2","CXCL2","TAD_1666"
"CXCL3","CXCL3","TAD_2732"
"CXCL5","CXCL5","TAD_617"
"CXCR5","CXCR5","TAD_987"
"CXXC1","CXXC1","TAD_1168"
"CXXC4","CXXC4","TAD_1500"
"CXXC5","CXXC5","TAD_769"
"CXorf23;BC046187","CXorf23;BC046187","TAD_2910"
"CXorf26","CXorf26","TAD_2851"
"CXorf38","CXorf38","TAD_2391"
"CXorf69","CXorf69","TAD_2949"
"CYB561","CYB561","TAD_3546"
"CYB561D1","CYB561D1","TAD_3141"
"CYB5A","CYB5A","TAD_2839"
"CYB5D1;AK125598","CYB5D1;AK125598","TAD_3485"
"CYB5R1","CYB5R1","TAD_2808"
"CYB5R2","CYB5R2","TAD_1680"
"CYB5R4","CYB5R4","TAD_1060"
"CYB5RL","CYB5RL","TAD_169"
"CYBASC3","CYBASC3","TAD_532"
"CYC1","CYC1","TAD_2013"
"CYFIP2","CYFIP2","TAD_2860"
"CYGB","CYGB","TAD_1632"
"CYHR1","CYHR1","TAD_749"
"CYMP","CYMP","TAD_2123"
"CYP17A1","CYP17A1","TAD_1064"
"CYP19A1;aromatase cytochrome P-450 (P-450AROM)","CYP19A1;aromatase cytochrome P-450 (P-450AROM)","TAD_2672"
"CYP1A1","CYP1A1","TAD_1325"
"CYP20A1","CYP20A1","TAD_1178"
"CYP24A1","CYP24A1","TAD_625"
"CYP26B1","CYP26B1","TAD_1105"
"CYP27A1","CYP27A1","TAD_1494"
"CYP27C1","CYP27C1","TAD_79"
"CYP2R1","CYP2R1","TAD_1599"
"CYP2S1","CYP2S1","TAD_1420"
"CYP2U1","CYP2U1","TAD_322"
"CYP39A1","CYP39A1","TAD_1394"
"CYP3A4","CYP3A4","TAD_605"
"CYP3A43","CYP3A43","TAD_2756"
"CYP3A5","CYP3A5","TAD_1726"
"CYP4F11","CYP4F11","TAD_1787"
"CYP4F12","CYP4F12","TAD_74"
"CYP4F2","CYP4F2","TAD_1697"
"CYP4F22","CYP4F22","TAD_61"
"CYP4F3","CYP4F3","TAD_1321"
"CYTH2","CYTH2","TAD_750"
"CYTH4","CYTH4","TAD_2593"
"CYTIP","CYTIP","TAD_2603"
"D28359","D28359","TAD_1205"
"D2HGDH","D2HGDH","TAD_766"
"D4S234E","D4S234E","TAD_211"
"DAB2","DAB2","TAD_974"
"DAB2IP","DAB2IP","TAD_329"
"DACH1","DACH1","TAD_2187"
"DAD1","DAD1","TAD_258"
"DAGLA","DAGLA","TAD_1499"
"DAK","DAK","TAD_1787"
"DAP","DAP","TAD_625"
"DAPK3;MIR637","DAPK3;MIR637","TAD_2328"
"DAPP1","DAPP1","TAD_2237"
"DARS2","DARS2","TAD_76"
"DAZAP1","DAZAP1","TAD_1648"
"DAZAP2","DAZAP2","TAD_2274"
"DBF4","DBF4","TAD_1290"
"DBIL5P2","DBIL5P2","TAD_650"
"DBN1","DBN1","TAD_1110"
"DBNDD2","DBNDD2","TAD_1662"
"DBR1","DBR1","TAD_3574"
"DBT","DBT","TAD_2351"
"DCAF10","DCAF10","TAD_2331"
"DCAF11","DCAF11","TAD_1649"
"DCAF12","DCAF12","TAD_2392"
"DCAF13","DCAF13","TAD_1482"
"DCAF15","DCAF15","TAD_2577"
"DCAF6","DCAF6","TAD_1596"
"DCAF7;BC024682","DCAF7;BC024682","TAD_1632"
"DCAF8","DCAF8","TAD_1297"
"DCAKD","DCAKD","TAD_2821"
"DCBLD1","DCBLD1","TAD_368"
"DCBLD2","DCBLD2","TAD_2976"
"DCD","DCD","TAD_3249"
"DCDC1","DCDC1","TAD_1167"
"DCDC5","DCDC5","TAD_1923"
"DCK","DCK","TAD_2354"
"DCLRE1A","DCLRE1A","TAD_2867"
"DCLRE1B","DCLRE1B","TAD_1161"
"DCLRE1C","DCLRE1C","TAD_796"
"DCP1B","DCP1B","TAD_513"
"DCST2","DCST2","TAD_1309"
"DCT","DCT","TAD_2045"
"DCTN4","DCTN4","TAD_1135"
"DCUN1D1","DCUN1D1","TAD_600"
"DCUN1D3","DCUN1D3","TAD_33"
"DCX","DCX","TAD_2751"
"DCXR","DCXR","TAD_3484"
"DDAH1","DDAH1","TAD_3096"
"DDAH2","DDAH2","TAD_3412"
"DDB2","DDB2","TAD_3174"
"DDC","DDC","TAD_3259"
"DDHD1","DDHD1","TAD_2607"
"DDHD2","DDHD2","TAD_3485"
"DDI2;RSC1A1","DDI2;RSC1A1","TAD_2217"
"DDIT4","DDIT4","TAD_2593"
"DDN","DDN","TAD_2827"
"DDOST","DDOST","TAD_1200"
"DDR1","DDR1","TAD_802"
"DDR2","DDR2","TAD_2371"
"DDRGK1","DDRGK1","TAD_1953"
"DDX17","DDX17","TAD_2057"
"DDX23","DDX23","TAD_405"
"DDX24","DDX24","TAD_1352"
"DDX26B","DDX26B","TAD_1701"
"DDX28","DDX28","TAD_3452"
"DDX31","DDX31","TAD_507"
"DDX39A","DDX39A","TAD_1665"
"DDX46","DDX46","TAD_1593"
"DDX50","DDX50","TAD_1611"
"DDX52","DDX52","TAD_1668"
"DDX54","DDX54","TAD_3040"
"DDX58","DDX58","TAD_3310"
"DDX6","DDX6","TAD_2734"
"DDX60L","DDX60L","TAD_1925"
"DEAF1","DEAF1","TAD_1158"
"DEDD","DEDD","TAD_1740"
"DEDD2","DEDD2","TAD_3437"
"DEGS1","DEGS1","TAD_985"
"DENND1A","DENND1A","TAD_142"
"DENND1B","DENND1B","TAD_1508"
"DENND1C","DENND1C","TAD_1798"
"DENND2A","DENND2A","TAD_2739"
"DENND2C","DENND2C","TAD_1352"
"DENND2D","DENND2D","TAD_862"
"DENND3","DENND3","TAD_3401"
"DENND4A","DENND4A","TAD_3099"
"DENND4B","DENND4B","TAD_1625"
"DENND4C","DENND4C","TAD_1930"
"DENND5A","DENND5A","TAD_1400"
"DENR","DENR","TAD_2217"
"DEPDC4","DEPDC4","TAD_829"
"DEPDC7","DEPDC7","TAD_779"
"DEPTOR","DEPTOR","TAD_1595"
"DERL1","DERL1","TAD_1699"
"DES","DES","TAD_1729"
"DET1","DET1","TAD_276"
"DFNA5","DFNA5","TAD_318"
"DGAT2","DGAT2","TAD_2860"
"DGCR11","DGCR11","TAD_2736"
"DGCR14","DGCR14","TAD_2050"
"DGKA","DGKA","TAD_2340"
"DGKD","DGKD","TAD_709"
"DGKE","DGKE","TAD_1938"
"DGKQ","DGKQ","TAD_2830"
"DGKZ","DGKZ","TAD_3444"
"DGUOK","DGUOK","TAD_1017"
"DHDH","DHDH","TAD_3486"
"DHFR","DHFR","TAD_3096"
"DHFRL1","DHFRL1","TAD_1653"
"DHRS1","DHRS1","TAD_3485"
"DHRS12","DHRS12","TAD_1038"
"DHRS13","DHRS13","TAD_3120"
"DHRS7","DHRS7","TAD_2926"
"DHRS7B","DHRS7B","TAD_766"
"DHTKD1","DHTKD1","TAD_587"
"DHX15","DHX15","TAD_1022"
"DHX16","DHX16","TAD_1036"
"DHX29","DHX29","TAD_718"
"DHX32","DHX32","TAD_1599"
"DHX58","DHX58","TAD_777"
"DIABLO","DIABLO","TAD_2758"
"DIAPH1","DIAPH1","TAD_2013"
"DIAPH2","DIAPH2","TAD_974"
"DICER1","DICER1","TAD_31"
"DIO2","DIO2","TAD_395"
"DIO3","DIO3","TAD_2826"
"DIO3AS;DIO3OS;MIR1247","DIO3AS;DIO3OS;MIR1247","TAD_2045"
"DIP2A","DIP2A","TAD_2751"
"DIP2C","DIP2C","TAD_47"
"DIRAS1","DIRAS1","TAD_2736"
"DIRC2","DIRC2","TAD_3279"
"DIS3L2","DIS3L2","TAD_1822"
"DISC2","DISC2","TAD_670"
"DISP2","DISP2","TAD_1251"
"DIXDC1","DIXDC1","TAD_1771"
"DJ031130","DJ031130","TAD_2388"
"DJ031140","DJ031140","TAD_1297"
"DJ031150","DJ031150","TAD_2808"
"DJ439566;DJ439574","DJ439566;DJ439574","TAD_2462"
"DKC1","DKC1","TAD_3478"
"DKFZP564C196","DKFZP564C196","TAD_1742"
"DKFZP586I1420","DKFZP586I1420","TAD_593"
"DKFZP686I15217","DKFZP686I15217","TAD_1394"
"DKFZp434J0226","DKFZp434J0226","TAD_1358"
"DKFZp434J194","DKFZp434J194","TAD_2425"
"DKFZp451J181","DKFZp451J181","TAD_995"
"DKFZp547A023","DKFZp547A023","TAD_3484"
"DKFZp686E10196","DKFZp686E10196","TAD_2937"
"DKFZp686G1344","DKFZp686G1344","TAD_1698"
"DKFZp686H10114","DKFZp686H10114","TAD_2525"
"DKFZp686L08115","DKFZp686L08115","TAD_2827"
"DKFZp686N1150","DKFZp686N1150","TAD_2272"
"DKFZp686N1631","DKFZp686N1631","TAD_625"
"DKFZp761E198","DKFZp761E198","TAD_64"
"DKK3","DKK3","TAD_2836"
"DKKL1","DKKL1","TAD_628"
"DL491750","DL491750","TAD_1628"
"DL492006","DL492006","TAD_1588"
"DL492557","DL492557","TAD_2587"
"DL492607","DL492607","TAD_617"
"DLAT","DLAT","TAD_2170"
"DLEC1","DLEC1","TAD_2191"
"DLEU1","DLEU1","TAD_507"
"DLEU2","DLEU2","TAD_234"
"DLGAP3","DLGAP3","TAD_1386"
"DLGAP4","DLGAP4","TAD_1688"
"DLGAP5","DLGAP5","TAD_627"
"DLK1","DLK1","TAD_2"
"DLK2","DLK2","TAD_72"
"DLL1","DLL1","TAD_625"
"DLL4","DLL4","TAD_2"
"DLX1","DLX1","TAD_2153"
"DLX3","DLX3","TAD_2989"
"DLX4","DLX4","TAD_3410"
"DLX6","DLX6","TAD_1691"
"DM074112","DM074112","TAD_2638"
"DMBT1","DMBT1","TAD_1837"
"DMC1","DMC1","TAD_683"
"DMD","DMD","TAD_2371"
"DMRTA1","DMRTA1","TAD_3146"
"DMXL2","DMXL2","TAD_2174"
"DNAH1","DNAH1","TAD_2346"
"DNAH10","DNAH10","TAD_3477"
"DNAH11","DNAH11","TAD_1652"
"DNAH3","DNAH3","TAD_300"
"DNAH5","DNAH5","TAD_974"
"DNAJA2","DNAJA2","TAD_1632"
"DNAJB14","DNAJB14","TAD_715"
"DNAJB2","DNAJB2","TAD_1294"
"DNAJB4","DNAJB4","TAD_3644"
"DNAJB5","DNAJB5","TAD_1685"
"DNAJB6","DNAJB6","TAD_1189"
"DNAJC1","DNAJC1","TAD_667"
"DNAJC13","DNAJC13","TAD_2034"
"DNAJC14","DNAJC14","TAD_3023"
"DNAJC17","DNAJC17","TAD_3038"
"DNAJC18","DNAJC18","TAD_3310"
"DNAJC19","DNAJC19","TAD_2403"
"DNAJC22","DNAJC22","TAD_1870"
"DNAJC24","DNAJC24","TAD_723"
"DNAJC25","DNAJC25","TAD_723"
"DNAJC27","DNAJC27","TAD_1733"
"DNAJC27-AS1","DNAJC27-AS1","TAD_1666"
"DNAJC30","DNAJC30","TAD_1213"
"DNAJC5","DNAJC5","TAD_2783"
"DNAJC6","DNAJC6","TAD_3496"
"DNAJC7","DNAJC7","TAD_3329"
"DNAJC8","DNAJC8","TAD_430"
"DNAL4","DNAL4","TAD_1648"
"DNALI1","DNALI1","TAD_1103"
"DNASE1","DNASE1","TAD_2777"
"DNASE1L1","DNASE1L1","TAD_633"
"DNASE2","DNASE2","TAD_854"
"DND1","DND1","TAD_2363"
"DNER","DNER","TAD_1657"
"DNHD1","DNHD1","TAD_3553"
"DNM3","DNM3","TAD_85"
"DNMBP","DNMBP","TAD_38"
"DNMBP-AS1","DNMBP-AS1","TAD_2010"
"DNMT1","DNMT1","TAD_3110"
"DNMT3A","DNMT3A","TAD_862"
"DNMT3B","DNMT3B","TAD_1919"
"DNPEP","DNPEP","TAD_1936"
"DNTT","DNTT","TAD_1996"
"DOC2A","DOC2A","TAD_2289"
"DOCK5","DOCK5","TAD_974"
"DOCK9","DOCK9","TAD_689"
"DOK4","DOK4","TAD_2728"
"DOK7","DOK7","TAD_362"
"DOLK","DOLK","TAD_1421"
"DOT1L","DOT1L","TAD_1421"
"DPCD","DPCD","TAD_1995"
"DPCR1","DPCR1","TAD_605"
"DPH1","DPH1","TAD_1485"
"DPH2","DPH2","TAD_1451"
"DPM3","DPM3","TAD_972"
"DPP3","DPP3","TAD_3439"
"DPP8","DPP8","TAD_1578"
"DPRXP4","DPRXP4","TAD_2276"
"DPY19L4","DPY19L4","TAD_3067"
"DPY30","DPY30","TAD_431"
"DPYD","DPYD","TAD_2808"
"DPYSL3","DPYSL3","TAD_216"
"DPYSL5","DPYSL5","TAD_1536"
"DQ266889","DQ266889","TAD_1362"
"DQ515898","DQ515898","TAD_2866"
"DQ570096","DQ570096","TAD_1936"
"DQ570835","DQ570835","TAD_2692"
"DQ571864","DQ571864","TAD_3478"
"DQ572107","DQ572107","TAD_819"
"DQ572382","DQ572382","TAD_1697"
"DQ572964","DQ572964","TAD_1017"
"DQ573015","DQ573015","TAD_51"
"DQ573668","DQ573668","TAD_496"
"DQ573949","DQ573949","TAD_1577"
"DQ576685","DQ576685","TAD_1381"
"DQ576756","DQ576756","TAD_2412"
"DQ576800","DQ576800","TAD_2196"
"DQ576994","DQ576994","TAD_2480"
"DQ577731","DQ577731","TAD_209"
"DQ579268","DQ579268","TAD_3625"
"DQ582265","DQ582265","TAD_295"
"DQ584699","DQ584699","TAD_3185"
"DQ586608","DQ586608","TAD_32"
"DQ586951","DQ586951","TAD_972"
"DQ590013","DQ590013","TAD_1595"
"DQ591572","DQ591572","TAD_1729"
"DQ591995","DQ591995","TAD_1742"
"DQ592682","DQ592682","TAD_471"
"DQ593252","DQ593252","TAD_180"
"DQ593994;ELFN2","DQ593994;ELFN2","TAD_1049"
"DQ595103","DQ595103","TAD_3307"
"DQ596646","DQ596646","TAD_1794"
"DQ597485","DQ597485","TAD_3185"
"DQ786293","DQ786293","TAD_2971"
"DQX1","DQX1","TAD_2326"
"DR1","DR1","TAD_2425"
"DRAM1","DRAM1","TAD_1165"
"DRAM2","DRAM2","TAD_1253"
"DRAP1","DRAP1","TAD_3157"
"DRD2","DRD2","TAD_240"
"DRD4","DRD4","TAD_1732"
"DRP2","DRP2","TAD_764"
"DSC1","DSC1","TAD_974"
"DSC2","DSC2","TAD_52"
"DSCR3","DSCR3","TAD_3338"
"DSCR6","DSCR6","TAD_1482"
"DSCR9","DSCR9","TAD_424"
"DSG2","DSG2","TAD_1442"
"DSN1","DSN1","TAD_286"
"DSP","DSP","TAD_1107"
"DTNB","DTNB","TAD_3546"
"DTWD1","DTWD1","TAD_1962"
"DTX1","DTX1","TAD_1148"
"DTYMK;AK126180","DTYMK;AK126180","TAD_633"
"DUS1L","DUS1L","TAD_1947"
"DUS2L","DUS2L","TAD_217"
"DUS4L","DUS4L","TAD_1296"
"DUSP14","DUSP14","TAD_1669"
"DUSP15","DUSP15","TAD_286"
"DUSP18","DUSP18","TAD_1261"
"DUSP19","DUSP19","TAD_450"
"DUSP2","DUSP2","TAD_2316"
"DUSP22","DUSP22","TAD_80"
"DUSP23","DUSP23","TAD_3511"
"DUSP7","DUSP7","TAD_1733"
"DVL3","DVL3","TAD_1940"
"DYNC1I1","DYNC1I1","TAD_2737"
"DYNC1I2","DYNC1I2","TAD_1107"
"DYNC1LI1","DYNC1LI1","TAD_796"
"DYNC1LI2","DYNC1LI2","TAD_3553"
"DYNC2H1","DYNC2H1","TAD_3178"
"DYNLL1","DYNLL1","TAD_2985"
"DYNLL2","DYNLL2","TAD_3157"
"DYNLT3","DYNLT3","TAD_2786"
"DYRK1A","DYRK1A","TAD_1516"
"DYRK1B","DYRK1B","TAD_849"
"DYRK2","DYRK2","TAD_1837"
"DYRK3","DYRK3","TAD_3243"
"DYRK4","DYRK4","TAD_713"
"DYSF","DYSF","TAD_2696"
"DZIP1","DZIP1","TAD_1859"
"E2F5","E2F5","TAD_2932"
"E2F7","E2F7","TAD_65"
"E2F8","E2F8","TAD_1013"
"EAF1","EAF1","TAD_3319"
"EAF2","EAF2","TAD_1362"
"EBAG9","EBAG9","TAD_1294"
"EBF3","EBF3","TAD_2217"
"EBPL","EBPL","TAD_429"
"ECE2","ECE2","TAD_861"
"ECH1;HNRNPL","ECH1;HNRNPL","TAD_1335"
"ECHDC1","ECHDC1","TAD_2268"
"ECHDC2","ECHDC2","TAD_849"
"ECHS1","ECHS1","TAD_1421"
"ECM1","ECM1","TAD_1178"
"EDC3","EDC3","TAD_2819"
"EDC4","EDC4","TAD_2844"
"EDEM2","EDEM2","TAD_2744"
"EDF1","EDF1","TAD_1424"
"EED","EED","TAD_2469"
"EEF1A1;DL491467","EEF1A1;DL491467","TAD_1321"
"EEF1A2","EEF1A2","TAD_1977"
"EEF1B2","EEF1B2","TAD_887"
"EEF1D","EEF1D","TAD_1610"
"EFCAB10","EFCAB10","TAD_1619"
"EFCAB11","EFCAB11","TAD_2415"
"EFCAB2","EFCAB2","TAD_462"
"EFEMP2","EFEMP2","TAD_644"
"EFHC1","EFHC1","TAD_2087"
"EFHD2","EFHD2","TAD_2246"
"EFNA1","EFNA1","TAD_1771"
"EFNA3","EFNA3","TAD_2980"
"EFTUD2","EFTUD2","TAD_752"
"EGF","EGF","TAD_3533"
"EGFL7","EGFL7","TAD_3022"
"EGFL8;PPT2","EGFL8;PPT2","TAD_2213"
"EGFR","EGFR","TAD_22"
"EHD1","EHD1","TAD_474"
"EHD4","EHD4","TAD_3328"
"EHF","EHF","TAD_1535"
"EHMT2","EHMT2","TAD_3108"
"EI24","EI24","TAD_1986"
"EID3","EID3","TAD_461"
"EIF1B","EIF1B","TAD_652"
"EIF2A","EIF2A","TAD_2440"
"EIF2AK2","EIF2AK2","TAD_2826"
"EIF2AK3","EIF2AK3","TAD_1688"
"EIF2AK4","EIF2AK4","TAD_1667"
"EIF2B2","EIF2B2","TAD_1786"
"EIF2B3","EIF2B3","TAD_1187"
"EIF2B5","EIF2B5","TAD_1581"
"EIF2C3","EIF2C3","TAD_764"
"EIF2C4","EIF2C4","TAD_1987"
"EIF2D","EIF2D","TAD_1196"
"EIF2S2","EIF2S2","TAD_1943"
"EIF3E","EIF3E","TAD_1757"
"EIF3H","EIF3H","TAD_1137"
"EIF3I","EIF3I","TAD_2486"
"EIF3K","EIF3K","TAD_2190"
"EIF3M","EIF3M","TAD_796"
"EIF4A1;DD413682","EIF4A1;DD413682","TAD_1008"
"EIF4A2","EIF4A2","TAD_3024"
"EIF4A3","EIF4A3","TAD_2950"
"EIF4E","EIF4E","TAD_1943"
"EIF4EBP1","EIF4EBP1","TAD_566"
"EIF4ENIF1","EIF4ENIF1","TAD_1442"
"EIF4H","EIF4H","TAD_3013"
"EIF5B","EIF5B","TAD_1668"
"EIF6","EIF6","TAD_171"
"ELAVL1","ELAVL1","TAD_2217"
"ELAVL3","ELAVL3","TAD_492"
"ELF3","ELF3","TAD_1766"
"ELF4","ELF4","TAD_1774"
"ELK1","ELK1","TAD_1140"
"ELK3","ELK3","TAD_1682"
"ELK4;SLC45A3","ELK4;SLC45A3","TAD_2208"
"ELL2","ELL2","TAD_52"
"ELMO2","ELMO2","TAD_2346"
"ELMOD2","ELMOD2","TAD_243"
"ELN","ELN","TAD_759"
"ELOVL1","ELOVL1","TAD_600"
"ELOVL2","ELOVL2","TAD_678"
"ELOVL3","ELOVL3","TAD_216"
"ELOVL5","ELOVL5","TAD_1680"
"ELP2","ELP2","TAD_2480"
"ELP4","ELP4","TAD_3150"
"EMID1","EMID1","TAD_485"
"EMILIN1","EMILIN1","TAD_532"
"EMILIN2","EMILIN2","TAD_507"
"EML2","EML2","TAD_2149"
"EML3","EML3","TAD_2826"
"EML4","EML4","TAD_2516"
"EML5","EML5","TAD_122"
"EML6","EML6","TAD_1529"
"EMP1","EMP1","TAD_3332"
"EMP2","EMP2","TAD_1421"
"EMP3","EMP3","TAD_3478"
"EMR2","EMR2","TAD_2915"
"EMX2","EMX2","TAD_551"
"EN2","EN2","TAD_3619"
"ENDOD1","ENDOD1","TAD_2990"
"ENDOG","ENDOG","TAD_3329"
"ENHO","ENHO","TAD_1978"
"ENO3","ENO3","TAD_1665"
"ENO4","ENO4","TAD_1000"
"ENOSF1","ENOSF1","TAD_910"
"ENOX1","ENOX1","TAD_1727"
"ENPP2","ENPP2","TAD_515"
